tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen,lcrp_pathogen,divergent_pathogen
2803850,2,2803850,Mammaliicoccus,"",bacteria,false,1.81364,8691,5,,,93.77,1105.8,10^-307.653,,,,,,,,,[1296],0,0,0
1296,1,2803850,Mammaliicoccus sciuri,"",bacteria,false,1.81364,8691,5,,,93.77,1105.8,10^-307.653,,,,,,,,,,0,0,0
2767888,2,2767888,Liquorilactobacillus,"",bacteria,false,0.184682,885,2,,,94.1325,345.5,10^-199.61,,,,,,,,,[82688],0,0,0
82688,1,2767888,Liquorilactobacillus nagelii,"",bacteria,false,0.184682,885,2,,,94.1325,345.5,10^-199.61,,,,,,,,,,0,0,0
2767886,2,2767886,Levilactobacillus,"",bacteria,false,0.049666,238,1,,,98.54,137.0,10^-78.2056,,,,,,,,,[1580],0,0,0
1580,1,2767886,Levilactobacillus brevis,"",bacteria,false,0.049666,238,1,,,98.54,137.0,10^-78.2056,,,,,,,,,,0,0,0
2767842,2,2767842,Lactiplantibacillus,"",bacteria,false,0.197621,947,2,,,95.548,352.5,10^-200.986,,,,,,,,,[1590],0,0,0
1590,1,2767842,Lactiplantibacillus plantarum,"",bacteria,false,0.197621,947,2,,,95.548,352.5,10^-200.986,,,,,,,,,,0,0,0
2759736,2,2759736,Lacticaseibacillus,"",bacteria,false,0.148789,713,1,,,96.46,226.0,10^-130.824,,,,,,,,,[1597],0,0,0
1597,1,2759736,Lacticaseibacillus paracasei,"",bacteria,false,0.148789,713,1,,,96.46,226.0,10^-130.824,,,,,,,,,,0,0,0
2742598,2,2742598,Limosilactobacillus,"",bacteria,false,93572.2,448399180,167247,,,99.6664,1656870.0,10^-306.651,,,,,,,,,"[97478, 1632, 1613]",0,0,0
97478,1,2742598,Lactobacillus mucosae,"",bacteria,false,0.0477879,229,1,,,95.135,185.0,10^-101.405,,,,,,,,,,0,0,0
1632,1,2742598,Limosilactobacillus oris,"",bacteria,false,0.152128,729,2,,,91.886,282.0,10^-149.955,,,,,,,,,,0,0,0
1613,1,2742598,Limosilactobacillus fermentum,"",bacteria,false,93572.0,448398222,167244,,,99.6666,1656900.0,10^-306.654,,,,,,,,,,0,0,0
673534,2,673534,Plantactinospora,"",bacteria,false,2.14565,10282,1,,,86.7348,294.0,10^-57.9644,,,,,,,,,[2071627],0,0,0
2071627,1,673534,Plantactinospora sp. BB1,"",bacteria,false,2.14565,10282,1,,,86.7348,294.0,10^-57.9644,,,,,,,,,,0,0,0
186765,2,186765,Lambdavirus,"",viruses,true,0.239565,1148,1,,,92.913,889.0,10^-307.653,,,,,,,,,[2686055],0,0,0
2686055,1,186765,Escherichia virus Lambda_4A7,"",viruses,true,0.239565,1148,1,,,92.913,889.0,10^-307.653,,,,,,,,,,0,0,0
105983,2,105983,Apiotrichum,"",eukaryota,false,,,,,,,,,1.36331,6533,3,,,44.3,815.0,10^-152.614,[105984],0,0,0
105984,1,105983,Apiotrichum porosum,"",eukaryota,false,,,,,,,,,1.36331,6533,3,,,44.3,815.0,10^-152.614,,0,0,0
86017,2,86017,Salpingoeca,"",eukaryota,false,0.326377,1564,1,,,80.769,104.0,10^-30.9785,,,,,,,,,[946362],0,0,0
946362,1,86017,Salpingoeca rosetta,"",eukaryota,false,0.326377,1564,1,,,80.769,104.0,10^-30.9785,,,,,,,,,,0,0,0
61471,2,61471,Timema,"",eukaryota,false,0.392737,1882,2,,,91.8725,115.0,10^-49.5519,,,,,,,,,"[170557, 61472]",0,0,0
170557,1,61471,Timema poppensis,"",eukaryota,false,0.301544,1445,1,,,95.833,48.0,10^-17.5906,,,,,,,,,,0,0,0
61472,1,61471,Timema bartmani,"",eukaryota,false,0.0911934,437,1,,,87.912,182.0,10^-81.5132,,,,,,,,,,0,0,0
40323,2,40323,Stenotrophomonas,"",bacteria,false,1.27045,6088,1,,,89.724,3299.0,10^-307.653,,,,,,,,,[40324],1,0,0
40324,1,40323,Stenotrophomonas maltophilia,"",bacteria,false,1.27045,6088,1,,,89.724,3299.0,10^-307.653,,,,,,,,,,1,0,0
36086,2,36086,Trichuris,"",eukaryota,false,,,,,,,,,9929.89,47584136,7673,,,96.2525,1971.24,10^-307.653,[36087],1,0,0
36087,1,36086,Trichuris trichiura,human whipworm,eukaryota,false,,,,,,,,,9929.89,47584136,7673,,,96.2525,1971.24,10^-307.653,,1,0,0
33882,2,33882,Microbacterium,"",bacteria,false,0.0928629,445,1,,,80.328,122.0,10^-37.771,,,,,,,,,[162426],0,0,0
162426,1,33882,Microbacterium hominis,"",bacteria,false,0.0928629,445,1,,,80.328,122.0,10^-37.771,,,,,,,,,,0,0,0
32008,2,32008,Burkholderia,"",bacteria,false,2.50459,12002,1,,,89.5588,12451.0,10^-307.653,,,,,,,,,[292],1,0,0
292,1,32008,Burkholderia cepacia,"",bacteria,false,2.50459,12002,1,,,89.5588,12451.0,10^-307.653,,,,,,,,,,1,0,0
29580,2,29580,Janthinobacterium,"",bacteria,false,0.2356,1129,1,,,91.324,680.0,10^-307.653,,,,,,,,,[1938606],0,0,0
1938606,1,29580,Janthinobacterium sp. LM6,"",bacteria,false,0.2356,1129,1,,,91.324,680.0,10^-307.653,,,,,,,,,,0,0,0
7215,2,7215,Drosophila,fruit flies,eukaryota,false,0.19616,940,1,,,93.059,922.0,10^-307.653,,,,,,,,,[125945],0,0,0
125945,1,7215,Drosophila biarmipes,"",eukaryota,false,0.19616,940,1,,,93.059,922.0,10^-307.653,,,,,,,,,,0,0,0
6696,2,6696,Macrobrachium,"",eukaryota,false,8.96951,42982,8,,,91.6003,484.625,10^-120.385,,,,,,,,,[159736],0,0,0
159736,1,6696,Macrobrachium nipponense,"",eukaryota,false,8.96951,42982,8,,,91.6003,484.625,10^-120.385,,,,,,,,,,0,0,0
5581,2,5581,Beauveria,"",eukaryota,false,,,,,,,,,26807.2,128460484,20018,,,69.4,3921.0,10^-307.653,[176275],0,0,0
176275,1,5581,Beauveria bassiana,"",eukaryota,false,,,,,,,,,26807.2,128460484,20018,,,69.4,3921.0,10^-307.653,,0,0,0
5206,2,5206,Cryptococcus,"",eukaryota,false,17100.0,81943467,20684,,,94.8587,20594.7,10^-304.649,12859.9,61624976,15742,,,83.6832,1372.58,10^-303.391,"[2046349, 2011032, 1859121, 1859096, 192011, 37769, 5207]",2,0,0
2046349,1,5206,Cryptococcus sp. (in: Fungi),"",eukaryota,false,2.48309,11899,2,,,83.906,4197.5,10^-307.653,,,,,,,,,,0,0,0
2011032,1,5206,Cryptococcus cf. gattii,"",eukaryota,false,,,,,,,,,83.5879,400554,110,,,74.8964,1194.69,10^-306.02,,0,0,0
1859121,1,5206,Cryptococcus gattii VGIV,"",eukaryota,false,,,,,,,,,21.4492,102785,24,,,80.6,1622.33,10^-307.653,,0,0,0
1859096,1,5206,Cryptococcus gattii VGII,"",eukaryota,false,0.336185,1611,3,,,91.5087,280.333,10^-144.266,33.761,161783,38,,,76.3211,1171.89,10^-298.088,,0,0,0
192011,1,5206,Cryptococcus neoformans AD hybrid,"",eukaryota,false,2.60496,12483,4,,,93.7615,1571.0,10^-250.793,,,,,,,,,,0,0,0
37769,1,5206,Cryptococcus gattii VGI,"",eukaryota,false,,,,,,,,,11.692,56028,12,,,64.2,936.0,10^-307.653,,1,0,0
5207,1,5206,Cryptococcus neoformans,"",eukaryota,false,17094.6,81917474,20675,,,94.8605,20602.9,10^-304.683,12709.5,60903826,15558,,,83.7831,1374.28,10^-303.376,,1,0,0
5052,2,5052,Aspergillus,"",eukaryota,false,0.0778379,373,1,,,86.753,385.0,10^-180.685,,,,,,,,,[1287682],0,0,0
1287682,1,5052,Aspergillus felis,"",eukaryota,false,0.0778379,373,1,,,86.753,385.0,10^-180.685,,,,,,,,,,0,0,0
4930,2,4930,Saccharomyces,"",eukaryota,false,17655.4,84604844,24286,,,97.6702,46631.0,10^-307.079,15019.9,71975421,21162,,,97.2358,1463.31,10^-307.122,"[252598, 27292, 4932, 4931]",1,0,0
252598,1,4930,Saccharomyces boulardii (nom. inval.),"",eukaryota,false,,,,,,,,,131.714,631176,186,,,98.9,1290.81,10^-307.653,,0,0,0
27292,1,4930,Saccharomyces pastorianus,"",eukaryota,false,638.774,3061010,863,,,97.8818,18912.2,10^-307.033,180.381,864389,249,,,98.9426,1581.59,10^-307.653,,0,0,0
4932,1,4930,Saccharomyces cerevisiae,baker's yeast,eukaryota,false,17013.6,81529147,23420,,,97.663,47657.8,10^-307.081,14689.4,70391665,20695,,,97.199,1464.46,10^-307.11,,1,0,0
4931,1,4930,Saccharomyces bayanus,"",eukaryota,false,3.06489,14687,3,,,93.5013,4266.67,10^-307.653,18.4038,88191,32,,,98.1,799.0,10^-307.653,,0,0,0
4842,2,4842,Rhizopus,"",eukaryota,false,,,,,,,,,1070.62,5130444,1499,,,90.0614,582.991,10^-302.231,[86630],0,0,0
86630,1,4842,Rhizopus azygosporus,"",eukaryota,false,,,,,,,,,1070.62,5130444,1499,,,90.0614,582.991,10^-302.231,,0,0,0
4473,2,4473,Spirodela,"",eukaryota,false,0.523371,2508,1,,,80.0,160.0,10^-52.7493,,,,,,,,,[51605],0,0,0
51605,1,4473,Spirodela intermedia,"",eukaryota,false,0.523371,2508,1,,,80.0,160.0,10^-52.7493,,,,,,,,,,0,0,0
4107,2,4107,Solanum,"",eukaryota,false,1.15943,5556,1,,,88.028,142.0,10^-61.0354,,,,,,,,,[4081],0,0,0
4081,1,4107,Solanum lycopersicum,tomato,eukaryota,false,1.15943,5556,1,,,88.028,142.0,10^-61.0354,,,,,,,,,,0,0,0
3869,2,3869,Lupinus,"",eukaryota,false,,,,,,,,,21501.2,103033889,16617,,,83.3894,1773.3,10^-307.653,[3870],0,0,0
3870,1,3869,Lupinus albus,white lupine,eukaryota,false,,,,,,,,,21501.2,103033889,16617,,,83.3894,1773.3,10^-307.653,,0,0,0
3705,2,3705,Brassica,"",eukaryota,false,0.219532,1052,1,,,83.733,375.0,10^-160.111,,,,,,,,,[3712],0,0,0
3712,1,3705,Brassica oleracea,wild cabbage,eukaryota,false,0.219532,1052,1,,,83.733,375.0,10^-160.111,,,,,,,,,,0,0,0
1654,2,1654,Actinomyces,"",bacteria,false,1.6058,7695,6,,,91.0505,1161.33,10^-307.653,,,,,,,,,[544580],0,0,0
544580,1,1654,Actinomyces oris,"",bacteria,false,1.6058,7695,6,,,91.0505,1161.33,10^-307.653,,,,,,,,,,0,0,0
1637,2,1637,Listeria,"",bacteria,false,115800.0,554914438,142961,,,99.7049,2846120.0,10^-307.333,108088.0,517960805,138537,,,99.9888,2366.56,10^-307.653,[1639],1,1,0
1639,1,1637,Listeria monocytogenes,"",bacteria,false,115800.0,554914438,142961,,,99.7049,2846120.0,10^-307.333,108088.0,517960805,138537,,,99.9888,2366.56,10^-307.653,,1,1,0
1386,2,1386,Bacillus,"",bacteria,false,155959.0,747356722,198515,,,99.6342,762391.0,10^-307.239,,,,,,,,,"[2576356, 2051555, 2026187, 2026186, 1963032, 1837130, 1455809, 492670, 483913, 96241, 1428, 1423, 1396]",1,0,0
2576356,1,1386,Bacillus sp. FDAARGOS_527,"",bacteria,false,0.0870198,417,1,,,90.104,384.0,10^-197.84,,,,,,,,,,0,0,0
2051555,1,1386,Bacillus sp. wens01,"",bacteria,false,0.0696993,334,1,,,93.023,301.0,10^-164.323,,,,,,,,,,0,0,0
2026187,1,1386,Bacillus pacificus,"",bacteria,false,0.972661,4661,8,,,94.0557,556.375,10^-248.408,,,,,,,,,,0,0,0
2026186,1,1386,Bacillus paranthracis,"",bacteria,false,3.40358,16310,23,,,94.1668,685.783,10^-284.098,,,,,,,,,,0,0,0
1963032,1,1386,Bacillus intestinalis,"",bacteria,false,696.747,3338819,436,,,94.0157,6302.95,10^-303.493,,,,,,,,,,0,0,0
1837130,1,1386,Bacillus sp. FJAT-14266,"",bacteria,false,0.514398,2465,1,,,80.035,571.0,10^-221.685,,,,,,,,,,0,0,0
1455809,1,1386,Bacillus sp. III1,"",bacteria,false,0.238522,1143,1,,,86.312,621.0,10^-295.756,,,,,,,,,,0,0,0
492670,1,1386,Bacillus velezensis,"",bacteria,false,0.196368,941,2,,,86.75,429.5,10^-200.88,,,,,,,,,,0,0,0
483913,1,1386,Bacillus inaquosorum,"",bacteria,false,1.55091,7432,3,,,88.3567,2126.0,10^-137.118,,,,,,,,,,0,0,0
96241,1,1386,Bacillus spizizenii,"",bacteria,false,845.433,4051325,556,,,93.5202,6666.18,10^-300.489,,,,,,,,,,0,0,0
1428,1,1386,Bacillus thuringiensis,"",bacteria,false,0.315942,1514,2,,,93.039,537.0,10^-250.368,,,,,,,,,,0,0,0
1423,1,1386,Bacillus subtilis,"",bacteria,false,154407.0,739920828,197464,,,99.6659,766416.0,10^-307.283,,,,,,,,,,0,0,0
1396,1,1386,Bacillus cereus,"",bacteria,false,2.19803,10533,17,,,92.5289,469.529,10^-247.527,,,,,,,,,,1,0,0
1350,2,1350,Enterococcus,"",bacteria,false,102529.0,491318121,125335,,,99.6849,2023450.0,10^-307.293,92694.6,444193669,118609,,,99.7226,2009.77,10^-307.616,"[44008, 1352, 1351]",2,1,0
44008,1,1350,Enterococcus cecorum,"",bacteria,false,,,,,,,,,1162.32,5569853,2240,,,95.7,491.0,10^-305.733,,0,0,0
1352,1,1350,Enterococcus faecium,"",bacteria,false,3.77795,18104,6,,,93.0627,2127.0,10^-226.797,,,,,,,,,,1,0,0
1351,1,1350,Enterococcus faecalis,"",bacteria,false,102525.0,491300017,125329,,,99.6852,2023550.0,10^-307.297,91532.3,438623816,116369,,,99.8,2039.0,10^-307.653,,1,1,0
1301,2,1301,Streptococcus,"",bacteria,false,0.58368,2797,2,,,93.2375,165.5,10^-82.6195,85098.4,407792697,158861,,,69.2,2412.0,10^-307.653,"[1329, 1313]",1,0,0
1329,1,1301,Streptococcus canis,"",bacteria,false,0.555091,2660,1,,,90.435,230.0,10^-114.348,,,,,,,,,,0,0,0
1313,1,1301,Streptococcus pneumoniae,"",bacteria,false,0.0285892,137,1,,,96.04,101.0,10^-50.8906,85098.4,407792697,158861,,,69.2,2412.0,10^-307.653,,1,0,0
1279,2,1279,Staphylococcus,"",bacteria,false,98091.7,470056623,121854,,,99.6813,1840600.0,10^-307.308,87742.1,420461002,112624,,,99.9991,10560.3,10^-307.43,"[283734, 29387, 1280]",2,1,0
283734,1,1279,Staphylococcus pseudintermedius,"",bacteria,false,9.83491,47129,22,,,94.845,1965.27,10^-241.863,,,,,,,,,,1,0,0
29387,1,1279,Staphylococcus sp.,"",bacteria,false,9.42297,45155,25,,,89.6254,1740.6,10^-286.73,,,,,,,,,,0,0,0
1280,1,1279,Staphylococcus aureus,"",bacteria,false,98072.5,469964339,121807,,,99.6843,1841310.0,10^-307.324,87742.1,420461002,112624,,,99.9991,10560.3,10^-307.43,,1,1,0
620,2,620,Shigella,"",bacteria,false,1.52086,7288,3,,,92.5067,2104.33,10^-307.653,,,,,,,,,[621],1,0,0
621,1,620,Shigella boydii,"",bacteria,false,1.52086,7288,3,,,92.5067,2104.33,10^-307.653,,,,,,,,,,1,0,0
590,2,590,Salmonella,"",bacteria,false,89914.5,430871438,67554,,,99.3635,1007190.0,10^-307.275,65088.9,311906966,50525,,,99.4626,3175.42,10^-307.653,"[2686305, 2664291, 28901]",1,0,0
2686305,1,590,Salmonella sp. S13,"",bacteria,false,2.42883,11639,1,,,97.428,8866.0,10^-307.653,,,,,,,,,,0,0,0
2664291,1,590,Salmonella sp. HNK130,"",bacteria,false,8.63061,41358,4,,,94.3399,6169.0,10^-307.653,,,,,,,,,,0,0,0
28901,1,590,Salmonella enterica,"",bacteria,false,89903.5,430818441,67549,,,99.3638,1007260.0,10^-307.275,65088.9,311906966,50525,,,99.4626,3175.42,10^-307.653,,1,0,0
583,2,583,Proteus,"",bacteria,false,0.973704,4666,5,,,91.873,615.2,10^-209.824,,,,,,,,,"[626774, 585, 584]",2,0,0
626774,1,583,Proteus cibarius,"",bacteria,false,0.252086,1208,1,,,80.892,157.0,10^-53.4437,,,,,,,,,,0,0,0
585,1,583,Proteus vulgaris,"",bacteria,false,0.206803,991,1,,,98.209,949.0,10^-307.653,,,,,,,,,,1,0,0
584,1,583,Proteus mirabilis,"",bacteria,false,0.514815,2467,3,,,93.4213,656.667,10^-229.34,,,,,,,,,,1,0,0
570,2,570,Klebsiella,"",bacteria,false,0.220367,1056,1,,,90.909,99.0,10^-42.665,195.719,937890,193,,,96.1,1133.0,10^-307.653,"[1134687, 573]",1,0,0
1134687,1,570,Klebsiella michiganensis,"",bacteria,false,,,,,,,,,195.719,937890,193,,,96.1,1133.0,10^-307.653,,0,0,0
573,1,570,Klebsiella pneumoniae,"",bacteria,false,0.220367,1056,1,,,90.909,99.0,10^-42.665,,,,,,,,,,1,0,0
561,2,561,Escherichia,"",bacteria,false,91877.1,440275962,67284,,,99.5798,1126750.0,10^-307.302,1884.47,9030408,1974,,,99.5734,1374.37,10^-307.3,"[564, 562]",1,0,0
564,1,561,Escherichia fergusonii,"",bacteria,false,,,,,,,,,17.5231,83971,31,,,97.9,424.0,10^-285.216,,0,0,0
562,1,561,Escherichia coli,"",bacteria,false,91877.1,440275962,67284,,,99.5798,1126750.0,10^-307.302,1866.95,8946437,1943,,,99.6001,1389.54,10^-307.653,,1,0,0
544,2,544,Citrobacter,"",bacteria,false,,,,,,,,,30.7011,147120,35,,,84.7,646.0,10^-307.653,[546],1,0,0
546,1,544,Citrobacter freundii,"",bacteria,false,,,,,,,,,30.7011,147120,35,,,84.7,646.0,10^-307.653,,1,0,0
286,2,286,Pseudomonas,"",bacteria,false,84585.6,405335219,58965,,,99.6836,6438720.0,10^-307.359,78004.0,373796074,55893,,,100.0,5149.0,10^-307.653,"[2545800, 294, 287]",2,0,0
2545800,1,286,Pseudomonas sp. FDAARGOS_761,"",bacteria,false,0.288605,1383,1,,,93.837,1006.0,10^-307.653,,,,,,,,,,0,0,0
294,1,286,Pseudomonas fluorescens,"",bacteria,false,3.08451,14781,2,,,91.3435,4546.0,10^-203.46,,,,,,,,,,1,0,0
287,1,286,Pseudomonas aeruginosa,"",bacteria,false,84582.2,405319055,58962,,,99.684,6439050.0,10^-307.362,78004.0,373796074,55893,,,100.0,5149.0,10^-307.653,,1,0,0
-200,2,-200,all taxa with neither family nor genus classification,,,false,24.5262,117530,40,,,93.6945,1748.47,10^-236.673,182774.0,875852839,218528,,,99.9396,3363.05,10^-307.476,"[2580236, 175245, 77133, -100]",0,0,0
2580236,1,-200,synthetic Escherichia coli Syn61,"",,false,0.0728295,349,1,,,97.765,179.0,10^-104.164,,,,,,,,,,0,0,0
175245,1,-200,uncultured fungus,"",eukaryota,false,0.200125,959,2,,,94.1415,450.5,10^-259.186,,,,,,,,,,0,0,0
77133,1,-200,uncultured bacterium,"",bacteria,false,0.356844,1710,5,,,93.9976,265.6,10^-145.322,,,,,,,,,,0,0,0
-100,1,-200,all taxa with neither family nor genus classification,,,false,23.8964,114512,32,,,93.492,2110.34,10^-253.68,182774.0,875852839,218528,,,99.9396,3363.05,10^-307.476,,0,0,0
-200186817,2,-200186817,non-genus-specific reads in family Bacillaceae,,bacteria,false,1.60601,7696,10,,,96.0865,711.4,10^-277.53,,,,,,,,,"[2654326, 2654284]",0,0,0
2654326,1,-200186817,Bacillaceae bacterium C05,"",bacteria,false,1.26252,6050,8,,,95.8775,691.125,10^-270.0,,,,,,,,,,0,0,0
2654284,1,-200186817,Bacillaceae bacterium C02,"",bacteria,false,0.343488,1646,2,,,96.9225,792.5,10^-307.653,,,,,,,,,,0,0,0
